observation_date,BBKMGDP
1960-01-01,15.7828126143344764643
1960-02-01,5.8510208056225341267
1960-03-01,-4.5187020361360721310
1960-04-01,-3.7037835578632249955
1960-05-01,-3.3802832245707383763
1960-06-01,1.5582954745971098198
1960-07-01,5.5772022164281889189
1960-08-01,2.6074041465270272333
1960-09-01,-4.0255639659575992439
1960-10-01,-7.4221174659099533599
1960-11-01,-7.9660432276055983536
1960-12-01,-2.8420138383688025030
1961-01-01,6.2009168265925751484
1961-02-01,6.1879222969696474621
1961-03-01,6.8645594148103814547
1961-04-01,6.2342289194508593297
1961-05-01,6.8314376832381356053
1961-06-01,8.3088905131180545993
1961-07-01,7.7093181582895011772
1961-08-01,8.6729112519084665678
1961-09-01,4.6237415868371902761
1961-10-01,8.4632689575351651712
1961-11-01,9.1503316753496406477
1961-12-01,8.2885091351747615107
1962-01-01,5.0470046658255212080
1962-02-01,9.1934441476198696108
1962-03-01,4.3349332925528347715
1962-04-01,2.0860188525732183962
1962-05-01,2.3392143422937810016
1962-06-01,3.6234053660088614279
1962-07-01,7.4396806587486334905
1962-08-01,4.6749783059718454936
1962-09-01,2.8084810072397909941
1962-10-01,-1.4562567551651381947
1962-11-01,1.5634887797855399061
1962-12-01,2.7466952738037688775
1963-01-01,5.2937309827957852448
1963-02-01,6.9285825748276348435
1963-03-01,2.3431614710767210141
1963-04-01,2.7945633194245425024
1963-05-01,5.2467961644698108969
1963-06-01,9.6885452526587290123
1963-07-01,11.6331620776166779763
1963-08-01,7.9256759296322476516
1963-09-01,2.9501836383843111911
1963-10-01,0.2060887629714396041
1963-11-01,0.7740835704306459064
1963-12-01,7.4609559989558018600
1964-01-01,11.7298521141389677780
1964-02-01,10.3202398472889740333
1964-03-01,3.6810232061821057670
1964-04-01,2.8171777365136905225
1964-05-01,3.4658316449656236813
1964-06-01,5.8949994713918449918
1964-07-01,10.1100343635847433887
1964-08-01,4.9812961626244565139
1964-09-01,0.2479982690449382132
1964-10-01,-5.3425402428302168900
1964-11-01,5.6719928915403308167
1964-12-01,10.2964284998090107592
1965-01-01,11.0227799602310518878
1965-02-01,9.6650618226167352987
1965-03-01,7.4458132041142963686
1965-04-01,1.8824743244005268661
1965-05-01,3.8761215743050616567
1965-06-01,7.2323519252913586186
1965-07-01,11.6944785420071504234
1965-08-01,9.0982611531307711061
1965-09-01,7.5351718340571167687
1965-10-01,9.1635371332560495716
1965-11-01,9.4201348388888028751
1965-12-01,11.5542254861489954720
1966-01-01,10.6530367429789496470
1966-02-01,8.4370764345081816771
1966-03-01,5.1833716735135730858
1966-04-01,-1.9255420965564207236
1966-05-01,-1.7473396738592956723
1966-06-01,2.6954747007262715996
1966-07-01,4.3918868067021445967
1966-08-01,4.6063174542147491408
1966-09-01,4.3951712012998820356
1966-10-01,2.7958543517833489567
1966-11-01,1.6003499256177127208
1966-12-01,4.3669318423725984601
1967-01-01,6.3395403234833604955
1967-02-01,1.1407970539019132161
1967-03-01,0.1420567811247218926
1967-04-01,-0.7760103499011674621
1967-05-01,-0.4783528655185316225
1967-06-01,4.0766660063902397937
1967-07-01,4.1006080133288946854
1967-08-01,6.5732173589035731709
1967-09-01,0.7716482824666099916
1967-10-01,-1.0979852967289280841
1967-11-01,6.4790186376933309731
1967-12-01,9.2671934049168189773
1968-01-01,7.0985625762101038916
1968-02-01,9.0517849289614211727
1968-03-01,8.2793145241608225859
1968-04-01,5.1885861600753937495
1968-05-01,6.7766147272537544666
1968-06-01,4.8507650001203836965
1968-07-01,3.6054074046538753251
1968-08-01,-0.0751470851667303957
1968-09-01,0.6827591783266822034
1968-10-01,0.2800636098589182055
1968-11-01,3.5019358106141478260
1968-12-01,4.9409494300900203001
1969-01-01,8.6795021654113213572
1969-02-01,6.7410922026551727271
1969-03-01,2.9893283317765821927
1969-04-01,-0.9507385939114736395
1969-05-01,-0.9567688045540240216
1969-06-01,2.9311893239641313436
1969-07-01,4.3186860989535036381
1969-08-01,3.3165923379356372358
1969-09-01,-0.7976391158535691694
1969-10-01,-3.1553691804163257473
1969-11-01,-4.9374226033357802024
1969-12-01,0.0309085246450945990
1970-01-01,-0.8985839415446559286
1970-02-01,1.7784109926597291285
1970-03-01,-1.3467995215608450366
1970-04-01,-1.5617070817878824229
1970-05-01,2.4598853549885446590
1970-06-01,5.7706053219057684700
1970-07-01,7.4506863239365328511
1970-08-01,1.2890906610578347635
1970-09-01,-5.9193753390686589810
1970-10-01,-11.4950233335368423582
1970-11-01,-4.2149398849469932316
1970-12-01,14.6833624437686687259
1971-01-01,15.9003125076506321989
1971-02-01,10.3876052325924757014
1971-03-01,2.8174764869916852916
1971-04-01,-0.7540634277281084152
1971-05-01,0.4458643679952469796
1971-06-01,4.8043798405706388266
1971-07-01,3.5805547543604916427
1971-08-01,3.1660925507365673681
1971-09-01,2.3498192524038912232
1971-10-01,-2.0612098560054636920
1971-11-01,0.7835697811497048804
1971-12-01,5.1568772947786625238
1972-01-01,8.9017963133535715770
1972-02-01,8.2661113505194308004
1972-03-01,11.1941225233193648592
1972-04-01,10.4342999234864617364
1972-05-01,7.2206838725155471082
1972-06-01,4.4326412925779088425
1972-07-01,0.8530197129466969841
1972-08-01,5.1569793691022312032
1972-09-01,4.8785403853137552233
1972-10-01,6.4127723222334784836
1972-11-01,7.9988046547211171244
1972-12-01,9.5899387414703927135
1973-01-01,10.6305576565074684225
1973-02-01,10.7979880269342984889
1973-03-01,7.3329044580630622363
1973-04-01,3.8747081958389077982
1973-05-01,2.1646166651400049474
1973-06-01,-2.4116021386745973842
